"Part";"Value";"Device";"Package";"Description";"AVAILABILITY";"DESCRIPTION";"MF";"MP";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"PRICE";
"BTN-UC-1";"BTN_NO-M8070";"BTN_NO-M8070";"SMD_BTN_M8070";"Push Button";"";"";"";"";"";"";"";"";"";
"CB-485-1";"100n";"C-NPOL";"SMD-M2012";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";
"CB-485-2";"100n";"C-NPOL";"SMD-M2012";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";
"CB-485-3";"1u";"C-NPOL";"SMD-M2012";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";
"CB-IN-1";"100n";"C-NPOL";"SMD-M2012";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";
"CB-LCD-1";"100n";"C-NPOL";"SMD-M2012";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";
"CB-RPI-1";"100n";"C-NPOL";"SMD-M2012";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";
"CB-SRVO-1";"100n";"C-NPOL";"SMD-M2012";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";
"CB-SRVO-2";"100n";"C-NPOL";"SMD-M2012";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";
"CB-SRVO-3";"100n";"C-NPOL";"SMD-M2012";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";
"CB-SRVO-4";"1u";"C-NPOL";"SMD-M2012";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";
"CB-UC-1";"100n";"C-NPOL";"SMD-M2012";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";
"CB-UC-2";"100n";"C-NPOL";"SMD-M2012";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";
"CB-UC-3";"100n";"C-NPOL";"SMD-M2012";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";
"CB-UC-4";"100n";"C-NPOL";"SMD-M2012";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";
"CB-UC-5";"100n";"C-NPOL";"SMD-M2012";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";
"CB-UC-6";"100n";"C-NPOL";"SMD-M2012";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";
