"Qty";"Value";"Device";"Package";"Parts";"Description";"AVAILABILITY";"DESCRIPTION";"MF";"MP";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"PRICE";
"2";"10";"R-M2012";"SMD-M2012";"RS-485-2, RS-485-3";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";
"3";"100k";"R-M2012";"SMD-M2012";"RD-UC-1, RU-SRVO-1, RU-UC-1";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";
"14";"100n";"C-NPOL";"SMD-M2012";"CB-485-1, CB-485-2, CB-IN-1, CB-LCD-1, CB-RPI-1, CB-SRVO-1, CB-SRVO-2, CB-SRVO-3, CB-UC-1, CB-UC-2, CB-UC-3, CB-UC-4, CB-UC-5, CB-UC-6";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";
"2";"100uF 6V3";"C-POLE2.5-5";"E2,5-5";"CP-RPI-1, CP-SRVO-1";"POLARIZED CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";
"4";"10k";"R-M2012";"SMD-M2012";"RD-RPI-2, RD-SRVO-2, RU-RPI-2, RU-SRVO-2";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";
"7";"10n";"C-NPOL";"SMD-M2012";"CF-IN-1, CF-IN-2, CF-LCD-1, CF-RPI-1, CF-RPI-2, CF-SRVO-1, CF-SRVO-2";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";
"1";"120";"R0207/2V";"TH-2MM54-V";"RT-485-1";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";
"2";"1K";"R-M2012";"SMD-M2012";"RD-SRVO-1, RS-SRVO-1";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";
"2";"1k";"R-M2012";"SMD-M2012";"RD-IN-1, RD-LCD-1";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";
"2";"1u";"C-NPOL";"SMD-M2012";"CB-485-3, CB-SRVO-4";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";
"1";"2020-03-18-BUCK-N5-NHN5";"2020-03-18-BUCK-N5-NHN5";"2020-03-18-BUCK-NHN5";"MOD-PWR";"2020-03-18 Buck Module";"";"";"";"";"";"";"";"";"";
"1";"2N7002";"MOS-N-SOT23";"SOT23";"TN-UC-1";"Standard NMOS";"";"";"";"";"";"";"";"";"";
"2";"330";"R-M2012";"SMD-M2012";"RS-UC-1, RS-UC-2";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";
"1";"4P03L11";"MOS-P-TO252";"TO252";"TP-SRVO-1";"MOS-P";"";"";"";"";"";"";"";"";"";
